Lo siento BB - Bad Bunny,Lo siento BB - Bad Bunny,La Santa - Bad Bunny,La Santa - Bad Bunny,Capricho 24 - Paganini,Capricho 24 - Paganini,BICHOTA - KAROL G,BICHOTA - KAROL G,Bangarang - Skrillex,Bangarang - Skrillex
time,hz,time,hz,time,hz,time,hz,time,hz
0.0,0.0,0.0005442176870748299,64.599609375,0.09351473922902494,75.3662109375,0.00045351473922902497,53.8330078125,0.04634920634920635,5501.7333984375
0.09287981859410431,0.0,0.09342403628117914,64.599609375,0.18639455782312925,75.3662109375,0.09342403628117914,64.599609375,0.13922902494331066,5501.7333984375
0.19111111111111112,635.2294921875,0.09442176870748299,183.0322265625,0.27936507936507937,86.1328125,0.283265306122449,549.0966796875,0.23210884353741496,5501.7333984375
0.2835374149659864,581.396484375,0.1872108843537415,172.265625,0.3791383219954649,904.39453125,0.37387755102040815,279.931640625,0.3249886621315193,5501.7333984375
0.3765079365079365,592.1630859375,0.2801814058956916,183.0322265625,0.47183673469387755,882.861328125,0.37859410430839,839.794921875,0.4178684807256236,5501.7333984375
0.46938775510204084,592.1630859375,0.3730612244897959,183.0322265625,0.5609977324263039,441.4306640625,0.47138321995464855,829.0283203125,0.5107482993197279,5501.7333984375
0.5622675736961451,592.1630859375,0.4659410430839002,183.0322265625,0.5647165532879819,882.861328125,0.5643537414965987,839.794921875,0.6036281179138322,5501.7333984375
0.6551473922902494,592.1630859375,0.5601814058956917,344.53125,0.6617687074829932,1378.125,0.8382766439909297,279.931640625,0.6965079365079365,5501.7333984375
0.7479365079365079,581.396484375,0.6530612244897959,344.53125,0.7505668934240363,893.6279296875,0.931156462585034,279.931640625,0.7893877551020408,5501.7333984375
0.8408163265306122,581.396484375,0.7459410430839002,344.53125,0.8434467120181406,893.6279296875,1.0240362811791384,279.931640625,0.8822675736961452,5501.7333984375
0.9336961451247165,581.396484375,0.8382766439909297,279.931640625,0.8547845804988662,2239.453125,1.1169160997732426,279.931640625,0.9751473922902494,5501.7333984375
1.0265759637188208,581.396484375,0.931156462585034,279.931640625,0.9364172335600907,904.39453125,1.209795918367347,279.931640625,1.210702947845805,387.59765625
1.1194557823129252,581.396484375,1.0239455782312925,269.1650390625,0.9476643990929705,2239.453125,1.7699773242630386,624.462890625,1.4063492063492065,1561.1572265625
1.2123356009070294,581.396484375,1.1164625850340135,226.0986328125,1.0405442176870747,2239.453125,1.8629478458049886,635.2294921875,1.4894331065759636,398.3642578125
1.3053061224489797,592.1630859375,1.209342403628118,226.0986328125,1.119092970521542,538.330078125,1.9540136054421768,419.8974609375,1.86421768707483,785.9619140625
1.398185941043084,592.1630859375,1.3022222222222222,226.0986328125,1.2158730158730158,1001.2939453125,1.9557369614512472,624.462890625,1.9570975056689341,785.9619140625
1.4909750566893425,581.396484375,1.3951020408163266,226.0986328125,1.3191836734693878,2239.453125,2.0486167800453514,624.462890625,2.530702947845805,2723.9501953125
1.5838548752834467,581.396484375,1.4876190476190476,183.0322265625,1.3988208616780045,667.529296875,2.417233560090703,279.931640625,2.8825396825396825,387.59765625
1.676734693877551,581.396484375,1.5804988662131518,183.0322265625,1.4044444444444444,1335.05859375,2.5103854875283447,312.2314453125,3.2574149659863947,785.9619140625
1.7696145124716554,581.396484375,1.6733786848072563,183.0322265625,1.491700680272109,667.529296875,2.698140589569161,549.0966796875,3.4398185941043082,387.59765625
1.8624943310657596,581.396484375,1.7676190476190476,344.53125,1.590204081632653,1335.05859375,3.1631746031746033,624.462890625,3.5491156462585036,2336.3525390625
1.955374149659864,581.396484375,1.8604988662131519,344.53125,1.6830839002267575,1335.05859375,3.2560544217687073,624.462890625,3.734875283446712,2336.3525390625
1.9651700680272108,1744.189453125,1.9533786848072563,344.53125,1.7703401360544218,667.529296875,3.3489342403628117,624.462890625,3.9239909297052153,2734.716796875
2.048344671201814,592.1630859375,2.0462585034013605,344.53125,1.863219954648526,667.529296875,3.4391836734693877,312.2314453125,4.093333333333334,785.9619140625
2.1510204081632653,1754.9560546875,2.13859410430839,279.931640625,1.9575510204081632,839.794921875,3.4417233560090703,613.6962890625,4.279092970521542,785.9619140625
2.234013605442177,581.396484375,2.2314739229024942,279.931640625,2.0504308390022676,839.794921875,3.810702947845805,312.2314453125,4.927981859410431,635.2294921875
2.3268934240362813,581.396484375,2.3243537414965987,279.931640625,2.236734693877551,904.39453125,3.9035827664399094,312.2314453125,5.207891156462585,785.9619140625
2.4197732426303853,581.396484375,2.4168707482993197,236.865234375,2.329433106575964,882.861328125,3.9964625850340134,312.2314453125,5.486530612244898,785.9619140625
2.5127437641723356,592.1630859375,2.509750566893424,236.865234375,2.418684807256236,452.197265625,4.089342403628118,312.2314453125,5.586031746031746,1571.923828125
2.60562358276644,592.1630859375,2.6026303854875286,236.865234375,2.4224943310657596,904.39453125,4.18485260770975,624.462890625,5.672199546485261,775.1953125
2.698503401360544,592.1630859375,2.6954195011337867,226.0986328125,2.515283446712018,893.6279296875,4.553741496598639,312.2314453125,5.778412698412699,2357.8857421875
2.7912925170068026,581.396484375,2.7881179138321994,204.5654296875,2.6081632653061226,893.6279296875,4.646621315192744,312.2314453125,5.859319727891156,936.6943359375
2.8011791383219955,1754.9560546875,2.880997732426304,204.5654296875,2.7009523809523808,882.861328125,4.739501133786848,312.2314453125,5.9523809523809526,958.2275390625
2.884263038548753,592.1630859375,2.9738775510204083,204.5654296875,2.793922902494331,893.6279296875,4.832380952380952,312.2314453125,6.060226757369614,2734.716796875
2.8940589569161,1754.9560546875,3.068027210884354,355.2978515625,2.888344671201814,1076.66015625,4.925260770975057,312.2314453125,6.229478458049886,775.1953125
2.9770521541950115,581.396484375,3.1608163265306124,344.53125,2.9796825396825395,893.6279296875,5.296780045351474,312.2314453125,6.322358276643991,775.1953125
3.0699319727891154,581.396484375,3.2536961451247164,344.53125,3.07265306122449,904.39453125,5.389659863945578,312.2314453125,6.693968253968254,785.9619140625
3.162267573696145,516.796875,3.346575963718821,344.53125,3.165532879818594,904.39453125,5.482448979591837,301.46484375,6.786848072562358,785.9619140625
